QUESTION.question,ANSWER
"What is the sand content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""sand""}}"
"What is the nitrogen content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""nitrogen""}}"
"What is the organic_carbon content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""organic_carbon""}}"
"What is the clay content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""clay""}}"
"What is the moisture content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""moisture""}}"
"What is the clay content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""clay""}}"
"What is the silt content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""silt""}}"
"What is the nitrogen content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""nitrogen""}}"
"What is the phosphorus content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""phosphorus""}}"
"What is the nitrogen content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""nitrogen""}}"
"What is the sand content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""sand""}}"
"What is the clay content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""clay""}}"
"What is the organic_carbon content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""organic_carbon""}}"
"What is the organic_carbon content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""organic_carbon""}}"
"What is the organic_carbon content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""organic_carbon""}}"
"What is the phosphorus content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""phosphorus""}}"
"What is the clay content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""clay""}}"
"What is the nitrogen content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""nitrogen""}}"
"What is the sand content in Toronto, Canada?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Toronto, Canada"", ""variable"": ""sand""}}"
"What is the silt content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""silt""}}"
"What is the phosphorus content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""phosphorus""}}"
"What is the silt content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""silt""}}"
"What is the moisture content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""moisture""}}"
"What is the sand content in Toronto, Canada?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Toronto, Canada"", ""variable"": ""sand""}}"
"What is the organic_carbon content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""organic_carbon""}}"
"What is the pH content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""pH""}}"
"What is the pH content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""pH""}}"
"What is the moisture content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""moisture""}}"
"What is the phosphorus content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""phosphorus""}}"
"What is the pH content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""pH""}}"
"What is the nitrogen content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""nitrogen""}}"
"What is the clay content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""clay""}}"
"What is the pH content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""pH""}}"
"What is the pH content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""pH""}}"
"What is the sand content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""sand""}}"
"What is the moisture content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""moisture""}}"
